,Current Class,FACTOR: COST,FACTOR: LOCATION,FACTOR: PROGRAM,FACTOR: ONLINE,FACTOR: REFERRAL,FACTOR: STAFF,FACTOR: COLLEGE REPUTATION,FACTOR: FINANCIAL AID,FACTOR: SCHOLARSHIPS,FACTOR: CLASS SIZE (S),FACTOR: OPPORTUNITY,FACTOR: TRANSFERING IN,FACTOR: PAST NEGATIVE EXPERIENCE,FACTOR: NJ STARS,FACTOR: TRANSFERING OUT,FACTOR: CREDIT IN HIGHSCHOOL,DEGREE/PROGRAM,CONTINUED INTEREST (1-5),INTEREST: WEB DEVELOPMENT,INTEREST: CYBERSECURITY,INTEREST: APP DEVELOPMENT,INTEREST: DATA ANALYTICS,INTEREST: ARTIFICIAL INTELLIGENCE,INTEREST: COMPUTER PROGRAMMING,INTEREST: GAME DESIGN,INTEREST: HARDWARE INSTALLATION & REPAIR,Age
0,CMP 101 Computer Information Literacy,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Nursing,1,No,No,No,No,No,No,No,No,18 and younger
1,CMP 101 Computer Information Literacy,High Impact,High Impact,High Impact,,High Impact,,,High Impact,High Impact,High Impact,,High Impact,,,High Impact,,Nursing,1,No,No,No,No,No,No,No,No,18 and younger
2,CMP 101 Computer Information Literacy,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,Early Childhood Education,3,No,No,No,No,No,No,No,No,19-20
3,CMP 126 Computer Technology and Applications,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Some Impact,High Impact,High Impact,Liberal Arts,1,No,No,No,No,No,No,No,No,18 and younger
4,CMP 126 Computer Technology and Applications,Some Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Criminal Justice,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,19-20
5,CMP 101 Computer Information Literacy,Some Impact,Some Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Nursing,3,Yes,No,No,Yes,No,No,No,No,18 and younger
6,CMP 101 Computer Information Literacy,No Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Early Childhood Education,1,No,No,No,No,No,No,No,No,35-64
7,CMP 101 Computer Information Literacy,Some Impact,High Impact,High Impact,,Some Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Nursing,3,Yes,No,Yes,No,No,No,No,No,19-20
8,CMP 126 Computer Technology and Applications,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,"psychology , liberal arts",3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,19-20
9,CMP 126 Computer Technology and Applications,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Liberal Arts,3,No,Yes,No,Yes,No,No,No,Yes,25-34
10,CMP 126 Computer Technology and Applications,Some Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Child and Family Studies,1,No,No,No,No,No,No,No,No,35-64
11,CMP 135 Computer Concepts with Applications,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,Some Impact,Criminal Justice,3,Yes,Yes,No,No,No,Yes,Yes,Yes,19-20
12,CMP 135 Computer Concepts with Applications,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,2,No,No,No,No,No,No,No,No,25-34
13,CMP 135 Computer Concepts with Applications,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Criminal Justice,3,No,Yes,No,No,No,No,No,No,19-20
14,CMP 135 Computer Concepts with Applications,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Criminal Justice,3,No,Yes,No,No,No,No,No,No,19-20
15,CMP 135 Computer Concepts with Applications,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Exercise Science,3,No,No,No,No,No,No,No,No,19-20
16,CMP 135 Computer Concepts with Applications,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,High Impact,No Impact,High Impact,No Impact,Radiography,2,No,No,No,No,No,No,No,No,19-20
17,CMP 135 Computer Concepts with Applications,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Exercise Science,2,No,No,No,No,No,No,No,No,19-20
18,CMP 135 Computer Concepts with Applications,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Radiography,3,No,No,No,No,No,No,Yes,No,18 and younger
19,CMP 135 Computer Concepts with Applications,High Impact,High Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,,,No Impact,High Impact,High Impact,Theatre Technology,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,18 and younger
20,CMP 135 Computer Concepts with Applications,No Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Criminal Justice,1,No,No,No,No,No,No,No,No,19-20
21,CMP 135 Computer Concepts with Applications,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Criminal Justice,3,No,No,No,No,No,No,No,No,19-20
22,CMP 135 Computer Concepts with Applications,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Radiography,3,No,No,Yes,No,No,No,No,No,21-24
23,CMP 135 Computer Concepts with Applications,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Radiography,3,Yes,No,Yes,No,Yes,No,No,No,18 and younger
24,CMP 135 Computer Concepts with Applications,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Radiography,1,No,No,No,No,No,No,No,No,21-24
25,CMP 135 Computer Concepts with Applications,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Criminal Justice,3,No,Yes,No,No,No,No,No,No,19-20
26,CMP 135 Computer Concepts with Applications,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Criminal Justice,1,No,Yes,No,No,No,No,No,No,19-20
27,CMP 135 Computer Concepts with Applications,High Impact,High Impact,Some Impact,Some Impact,,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,,,,High Impact,,Criminal Justice,2,No,Yes,Yes,No,No,No,Yes,No,19-20
